input_seq_id;hit_num;accession_id;definition
100_liquor_Chelyabinsk;1;EF589039;"HIV-1 isolate 02KZPAV300497 from Kazakhstan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;2;KJ771750;Human immunodeficiency virus isolate 12-01789 pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;3;KR233392;HIV-1 isolate VLD021 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;4;KR233361;HIV-1 isolate VLD147 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;5;KF720944;HIV-1 isolate AM013_2009 from Armenia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;6;HQ161925;HIV-1 isolate SML087 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;7;EU345678;HIV-1 isolate IR67B from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;8;MG063795;HIV-1 isolate MARY1069/RU from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;9;MF124848;HIV-1 isolate SHL046 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;10;KM247300;HIV-1 isolate RU_IRK_556_1999 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;11;KM247291;HIV-1 isolate RU_IRK_546_1999 from Russia pol protein (pol) gene, partial cds >gi|700588763|gb|KM247299.1| HIV-1 isolate RU_IRK_555_1999 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;12;MW115522;HIV-1 isolate SUR073 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;13;HM345536;HIV-1 isolate 01MOSR from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;14;HQ161918;HIV-1 isolate SML010 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;15;EF589041;"HIV-1 isolate 02KZYUZ300425 from Kazakhstan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;16;MK931603;HIV-1 isolate RU_ERS_0393_2014 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;17;KR233364;HIV-1 isolate VLD167 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;18;KC665922;HIV-1 isolate RU_KHB057 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;19;KC509853;HIV-1 isolate RU_KHB074 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;20;EU345694;HIV-1 isolate IR84B from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;21;EU345692;HIV-1 isolate IR82B from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;22;MN116387;HIV-1 isolate 486-14.09.2017 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;23;KX530767;HIV-1 isolate 324628 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;24;KF374894;HIV-1 isolate 12RU191c from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;25;KF374867;HIV-1 isolate 11RU10520 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;26;MW115503;HIV-1 isolate SUR035 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;27;EU345893;HIV-1 isolate RUJA52 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;28;EU345661;HIV-1 isolate IR49B from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;29;MK931809;HIV-1 isolate RU_ERS_1465_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;30;MK931596;HIV-1 isolate RU_ERS_0381_2014 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;31;MK795086;HIV-1 isolate KRD222 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;32;MK589657;HIV-1 isolate KRS6194 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;33;MK029284;HIV-1 isolate 18971 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;34;MH494286;HIV-1 isolate MnObl_73 from Belarus pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;35;MF403212;HIV-1 isolate A1_0716391855885417 from Spain pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;36;KX662386;HIV-1 isolate UK_A1_36 from United Kingdom pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;37;KM247292;HIV-1 isolate RU_IRK_548_1999 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;38;OL792305;HIV-1 isolate 1311000007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;39;JX290208;HIV-1 isolate 10RU5836 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;40;EU345891;HIV-1 isolate RUJA39 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;41;EU345843;HIV-1 isolate AdelB from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;42;EU345773;HIV-1 isolate RU01074 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;43;EU345760;HIV-1 isolate RU01057 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;44;EF589040;"HIV-1 isolate 02KZYUZ300413 from Kazakhstan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;45;MK931936;HIV-1 isolate RU_ERS_2190_2016 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;46;MK931767;HIV-1 isolate RU_ERS_0951_2015 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;47;HF679237;HIV-1 M:A1 Mn13A1 partial gag-pol gene for polyprotein, protease and reverse transcriptase region
100_liquor_Chelyabinsk;48;KC156533;HIV-1 isolate RU_BLG003 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;49;JX290235;HIV-1 isolate 10RU72m from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;50;HM345566;HIV-1 isolate 37MOSR from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;51;HQ412525;HIV-1 isolate KLG083 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;52;MK931814;HIV-1 isolate RU_ERS_1470_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;53;MK589583;HIV-1 isolate KRS5414 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;54;MK245670;HIV-1 isolate 364_TAJ from Tajikistan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;55;HQ424157;HIV-1 isolate KRD025 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;56;HQ161913;HIV-1 isolate VLD127 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;57;FJ009761;HIV-1 isolate RU_915_1067 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;58;EU345766;HIV-1 isolate RU01064 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;59;MK931885;HIV-1 isolate RU_ERS_1868_2010 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;60;MK931868;HIV-1 isolate RU_ERS_1759_2008 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;61;MK931803;HIV-1 isolate RU_ERS_1458_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;62;MK931567;HIV-1 isolate RU_ERS_0312_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;63;MK589458;HIV-1 isolate KRS1827 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;64;MH330349;HIV-1 isolate BLG033 from Russia, complete genome
100_liquor_Chelyabinsk;65;MH543066;HIV-1 isolate 146_TAJ from Tajikistan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;66;MF124829;HIV-1 isolate SHL013 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;67;KM247298;HIV-1 isolate RU_IRK_554_1999 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;68;KM247296;HIV-1 isolate RU_IRK_552_1999 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;69;OL752818;HIV-1 isolate 21KG84 from Kyrgyzstan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;70;KJ499621;HIV-1 isolate RU_KZN084 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;71;KF374926;HIV-1 isolate 12RU46p from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;72;KF374892;HIV-1 isolate 12RU184c from Russia pol protein (pol) gene, partial cds
